"UsageDate","ResourceId","ResourceType","ResourceLocation","ResourceGroupName","ServiceName","ServiceTier","Meter","CostUSD","Cost","Currency"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-rg/providers/microsoft.databricks/workspaces/adb-poc-ws","microsoft.databricks/workspaces","EU North","adb-poc-rg","Azure Databricks","","Premium All-purpose Compute DBU","3.749257831156092","307.2119371302355","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-rg/providers/microsoft.databricks/workspaces/adb-poc-ws","microsoft.databricks/workspaces","EU North","adb-poc-rg","Azure Databricks","","Premium All-Purpose Photon DBU","0.359119537715266","29.426039448666643","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-rg/providers/microsoft.databricks/workspaces/adb-poc-ws-2","microsoft.databricks/workspaces","EU North","adb-poc-rg","Azure Databricks","","Premium All-Purpose Photon DBU","4.867576844643152","398.84632610395835","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-rg/providers/microsoft.keyvault/vaults/adb-poc-kv-001","microsoft.keyvault/vaults","EU North","adb-poc-rg","Key Vault","","Operations","0.000120764211112","0.009895347","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-rg/providers/microsoft.keyvault/vaults/adb-poc-kv-2","microsoft.keyvault/vaults","EU North","adb-poc-rg","Key Vault","","Operations","0.000040254737037","0.003298449","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/6b9f26c1b6da4e7ab253ab8979ec5eaf-0-scratchvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P10 LRS Disk","0.050778935488421","4.16079550656","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/6b9f26c1b6da4e7ab253ab8979ec5eaf-containerrootvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P15 LRS Disk","0.09793080191849","8.024391150719998","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/8793ba43479943669c15f25587a24226-0-scratchvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P10 LRS Disk","0.050778935488421","4.16079550656","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/8793ba43479943669c15f25587a24226-containerrootvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P15 LRS Disk","0.09793080191849","8.024391150719998","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/fb71b1efd60d43fdaf5d8f7dab5f8d58-0-scratchvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P10 LRS Disk","0.050778935488421","4.16079550656","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/disks/fb71b1efd60d43fdaf5d8f7dab5f8d58-containerrootvolume","microsoft.compute/disks","EU North","adb-poc-ws-2-mgd","Storage","Premium SSD Managed Disks","P15 LRS Disk","0.09793080191849","8.024391150719998","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/6b9f26c1b6da4e7ab253ab8979ec5eaf","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","","Standard Data Transfer Out","0.000035841824296","0.002936857577726","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/6b9f26c1b6da4e7ab253ab8979ec5eaf","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","Inter-Region","Intra Continent Data Transfer Out","0.000039897050633","0.0032691403906","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/6b9f26c1b6da4e7ab253ab8979ec5eaf","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Virtual Machines","Dv2/DSv2 Series","D3 v2/DS3 v2","0.550361688535191","45.09630654156101","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/8793ba43479943669c15f25587a24226","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","","Standard Data Transfer Out","0.000062325598478","0.005106922143895","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/8793ba43479943669c15f25587a24226","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","Inter-Region","Intra Continent Data Transfer Out","0.000122423557589","0.010031312854713","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/8793ba43479943669c15f25587a24226","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Virtual Machines","Dv2/DSv2 Series","D3 v2/DS3 v2","0.55456296128299","45.44055630975201","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/fb71b1efd60d43fdaf5d8f7dab5f8d58","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","","Standard Data Transfer Out","8.34988256e-7","0.000068418436709","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/fb71b1efd60d43fdaf5d8f7dab5f8d58","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Bandwidth","Inter-Region","Intra Continent Data Transfer Out","0.000036102942293","0.002958253429685","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.compute/virtualmachines/fb71b1efd60d43fdaf5d8f7dab5f8d58","microsoft.compute/virtualmachines","EU North","adb-poc-ws-2-mgd","Virtual Machines","Dv2/DSv2 Series","D3 v2/DS3 v2","0.550361688535191","45.09630654156101","INR"
"2023-08-01","/subscriptions/bd798494-32ba-4eb2-8e27-c6852eb9bcbe/resourcegroups/adb-poc-ws-2-mgd/providers/microsoft.storage/storageaccounts/dbstorageswxtfez7btnuc","microsoft.storage/storageaccounts","EU North","adb-poc-ws-2-mgd","Storage","Azure Data Lake Storage Gen2 Hierarchical Namespace","Hot GRS Iterative Read Operations","0.000261655790743","0.0214399185","INR"
